原数据,标签
1 嗯。  #,1 服务评价
1 嗯。  #,1 服务评价
1 满意 非常满意。 #,1 服务评价
1 嗯 可以 的,1 服务评价
1 满意 满意 好 谢谢,1 服务评价
1 恩。 #,1 服务评价
1 恩 满意。 #,1 服务评价
1 哦！ #,1 服务评价
1 嗯。 #,1 服务评价
1 嗯 嗯嗯 感谢来电。 #,1 服务评价
1 嗯嗯 满意 满意。 #,1 服务评价
1 满意。 #,1 服务评价
1 嗯 行 挺 满意 的。 #,1 服务评价
1 嗯。 #,1 服务评价
1 满意 嘛。 #,1 服务评价
1 满意 满意 吗？ #,1 服务评价
1 满意 呢？ 啊 十三 了 也！ #,1 服务评价
1 满意 满意。 #,1 服务评价
1 哎呀 嗯 非常感谢 您的 支持 先生！ #,1 服务评价
1 满意 好 那 感谢来电 再见。 #,1 服务评价
1 满意 满意。 #,1 服务评价
1 还 可以 吧 我。 #,1 服务评价
1 满意。 #,1 服务评价
1 啊 好的！ #,1 服务评价
1 哎！ #,1 服务评价
1 嗯 满意。 #,1 服务评价
1 满意。 #,1 服务评价
1 啊 挺 满意 的 谢谢 啊！ #,1 服务评价
1 啊 满意！ #,1 服务评价
1 非常满意 的 嗯。 #,1 服务评价
1 啊！ #,1 服务评价
1 满意 满意 嗯。 #,1 服务评价
1 满意 满意。 #,1 服务评价
1 慢一点。 #,1 服务评价
1 可是 他 马路。 #,1 服务评价
1 那 满意。 #,1 服务评价
1 嗯 满意。 #,1 服务评价
1 呢 满意 满意 哦 我给你 们 的 钱 还是？ #,1 服务评价
1 嗯 那就 可以 了 啊！ #,1 服务评价
1 满意。 #,1 服务评价
1 好 好 可以。 #,1 服务评价
1 好。 #,1 服务评价
1 没 反应。 #,1 服务评价
1 嗯 挺 好 哦 您 要 走 的 那个。  #,1 服务评价
1 嗯 挺 好。  #,1 服务评价
1 满意 啊！  #,1 服务评价
1 哦 满意 感谢您 评价！  #,1 服务评价
1 嗯 很 满意 很。  #,1 服务评价
1 再见。  #,1 服务评价
1 吗 满意 满意？  #,1 服务评价
1 满意。  #,1 服务评价
1 嗯 满意 满意。  #,1 服务评价
1 嗯 满意。  #,1 服务评价
1 嗯 满意 嗯。  #,1 服务评价
1 嗯。  #,1 服务评价
1 按 谢谢你 啊 嗯 感谢您 的 耐心。  #,1 服务评价
1 嗯 还行。  #,1 服务评价
1 非常满意 感谢您 的 评价 祝您 生活愉快。  #,1 服务评价
1 嗯。  #,1 服务评价
1 满意 啊！  #,1 服务评价
1 嗯 满意 好。  #,1 服务评价
1 嗯 非常满意。  #,1 服务评价
1 满意。  #,1 服务评价
1 嗯嗯 满意。  #,1 服务评价
1 哦 满意！  #,1 服务评价
1 满意。  #,1 服务评价
1 嗯。  #,1 服务评价
1 嗯嗯。  #,1 服务评价
1 嗯。  #,1 服务评价
1 满意 的。  #,1 服务评价
1 满意。  #,1 服务评价
1 满意。  #,1 服务评价
1 啊 满意！  #,1 服务评价
1 满意。  #,1 服务评价
1 哎 吧 谢谢 啊 谢谢 啊 不客气！  #,1 服务评价
1 哎 好！  #,1 服务评价
1 满意。  #,1 服务评价
1 好 再见。  #,1 服务评价
1 嗯 还 满意 吗？  #,1 服务评价
1 哎！  #,1 服务评价
1 哎！  #,1 服务评价
1 嗯 满意 满意。  #,1 服务评价
1 嗯 满意。  #,1 服务评价
1 嗯 可以。  #,1 服务评价
1 满意 满意 好。  #,1 服务评价
1 哦！  #,1 服务评价
1 满意 了。  #,1 服务评价
1  呃 满意 满意 嗯 好 谢谢您 祝您 生活愉快。  #,1 服务评价
1 满意 再见。  #,1 服务评价
1 满意 吗？  #,1 服务评价
1 嗯 满意 满意。  #,1 服务评价
1 好。  #,1 服务评价
1 哎！  #,1 服务评价
1 没有。  #,1 服务评价
1 呃 满意 满意 谢谢。  #,1 服务评价
1  呃 满意？  #,1 服务评价
1 满意 吗？  #,1 服务评价
1 满意 呢？ 可以。  #,1 服务评价
1 嗯。  #,1 服务评价
1 满意。  #,1 服务评价
1  啊 满意！  #,1 服务评价
1 嗯 那 还行 还 可以。  #,1 服务评价
1 满意。  #,1 服务评价
1 满意 啊！  #,1 服务评价
1 满意 啊！  #,1 服务评价
1 满意 感谢 认可。  #,1 服务评价
1 嗯 那 好的。  #,1 服务评价
1 嗯 可以 好的 那 谢谢您 祝您 生活愉快 再见 嗯嗯。  #,1 服务评价
1 嗯 好 挺 好。  #,1 服务评价
1  嗯  #,1 服务评价
1 卖 也 卖 也 行 好 行。  #,1 服务评价
1 满意。 哎！  #,1 服务评价
1 啊 那也！  #,1 服务评价
1 嗯 行。  #,1 服务评价
1 嗯 可以。  #,1 服务评价
1 嗯 比较 满意， 感谢来电 祝您 生活愉快 再见！  #,1 服务评价
1 满意。  #,1 服务评价
1 好的。 非常  #,1 服务评价
1 行业 还是 评价 祝您。  #,1 服务评价
1 嗯 那 好。  #,1 服务评价
1 感谢 认可 祝您 生活愉快 感谢您 的 来点 再见！  #,1 服务评价
1 感谢 认可  #,1 服务评价
1 呃 满意。  #,1 服务评价
1 恩 满意   #,1 服务评价
1 也 可以。  #,1 服务评价
0 住址 吗 就 说 最难 听 的 还 没 拿到合同 都 没 加 个 什么 东西 就 讲 我 当时 我 买 个 菜 呀 我 没 拿到 我 买 个？  #,0 敏感词
0 是的 是 啥子 我 都 没 拿到 东西 你 就 跟我 核 效 了？ 对不对 就 什么 手指 什么 溃疡 了 十天 犹豫期 回到 十五天 犹豫期 你 要 跟我 说一下？  #,0 敏感词
0 保单 他 就 跟我 核 消 了 我 也 没 见到 保单 犹豫期 是 从 您 签收回执 开始 计算 的 您 要 说 没有 拿到 保单 我帮您 反馈 让 公司 工作人员 给您 核实。 我 没 拿到 保单 后 他 就 给你 核销 了 现在 我 又 不知道 买 的 啥 东西 我 又 没见 合同 也 没有 嘛 那 保单 我 可以帮您 反馈 好吗？ 哦 反馈 我 就 要 投诉 它！  #,0 敏感词
0 因为 您 是 通过 手机 微信 投保 的。 它 可以通过 官微 签 回执。 那个 产品 比较 特殊， 没有 签 回执 您 就是 说 您 没有 欺骗 我 可以帮您 反馈 好吗？ 然后 就 没 拿到合同 合同 应该 是不是 跟我 没有 送？  #,0 敏感词
0 我 现在 不要 这个 保单 他 把 咱们 的。 你 说 这个 问题 怎么 怎么处理？ 您的 问题。  #,0 敏感词
0 对不对 啊！ 我 刚 我 什么 都 没 嫁 到？ 加拿大 现在 都 十几 家 了 我 都 没 嫁 到 合同？ 你 说 这个 应该 怎么办 你好？ 您的 问题 这边 会 帮您 反馈 后期 会 有 工作人员 处理 的， 我 都 没 拿到合同 你 就 给我 把 这个 下载 二十八个 像 你 帮 我 签 的 时候 你 跟我 说 现在 加 回执 之后 还有 是 这样 的 有一个。  #,0 敏感词
0 那 之前 为什么 不 跟我 说 时间？ 这 会 签 的 回执 你 说一下 我 查一下 我 现在 一个 十六日 签 的 回执 因为 您 是 通过 手机 微信 投保 他 比较 特殊 可以 签 电子 回执 也 可以 签 纸质 的 因为 您 是 签 了 电子 回执。 十六号 签 的 所以说 犹豫期 过 了。 因为 过 了 你 起码 我 加 个 十六号 现在 你 跟我 要 说 我 今年三十 前段时间 我 学 驾照 犹豫期 是不是 要 给我 说一下？ 真的 我们 家里 不是 我一个人 还有 老公 打 对不对 我知道 买保险 保险 老婆 也 顾家 老公 月初 加。 我们 是 一家子 来 我 这边 要 到家 有 老公 看一下 给 小孩 买 的 什么 保险 对不对 我 不能 糊里糊涂 买 个 保险 你 跟我 把 回执 一家 现在 给我 退 不 了？ 责任 主卡 重大 我 不要 这个 保险 了 我 感觉 这 人家 不行。 那您 当初 投保 的 时候 工作人员 没有 告诉 您 有 犹豫期 对 吗？  #,0 敏感词
0 保险 没有什么 用 我 要 他 干啥？ 就像 你 买 个 东西 一样。  #,0 敏感词
0 十四 完了。 操 你 妈 个 逼 下来 那个 退休 之后 的 十五个 工作日 给我 给我 做。  #,0 敏感词
0 嗯 就像 这款 产品 的 话 他的 保险期间 最 长 是 十年 最 短 的 话 三周 内 就 可以 取 的 所以说 是 周年 是 到 二零 二 六年 一月 十一号 这个 是 最 长 的 持有 时间。  #,0 敏感词
0 嗯 对 的， 然后 到时候 能 取 多少钱 的 话 如果 有 电子保单 呃 之类 的 话 有个 现金价值表 您 可以 参考 一下 算 中途 如果 取 能 取 多少钱 的？  #,0 敏感词
0 这款 的 话 就是 年金 产品 治疗 下周 您 就 可以 取 的 最 长 就 十年 的， 三周年 之后 如果 不取 什么 时候 想 去 都 能 取 的？ 您 要 买 三年。  #,0 敏感词
0 对 的 三周年 且 比较 合适 最 短 三周年 去 比较 合适 的。,0 敏感词
0 如果 三十年 之内 取 的 话 就是 按照 现金价值 来进行 渠道 可能 到 是 呃 保费 的 话 是 有 损失 的。,0 敏感词
0 对 的 所以说 最 短 三周年 且 比较 合适 的。,0 敏感词
0 还有 那个 产生 的 这个 利息。,0 敏感词
0 我们 是 华夏 人寿保险 公司 的 不是， 保险 理财产品。,0 敏感词
0 您好 魏 女士。 那 我 这边 帮您 查询 到 您 购买 的 是 理财 类 的 保险产品。  #,0 敏感词
0 呃 您 用 普通话 说不好。  #,0 敏感词
0 到 今年 的 之后 你 说 有 多少钱？ 您 是 两万元 的 保费 交 三年 嗯， 三年 以后 五年 之后 会 领取 六万 八千 六百元 的。 保额。 两万块钱。 是的 两万块钱 您 交 三年。 幺三。 是的。 您的 两万块钱 您。 您 交到 三年 以后。 六年 之后 您 会 领取 到 六千 八百。 抱歉 六万。 八千 六百元 的 保 保额。 #,0 敏感词
0 那 所以说 您 可 不行 啰！ 三年 以后 领取 会 收取 退保 费用。 #,0 敏感词
0 以后 领取 多少钱 他 有一天 到 多少钱 唻？ 这个 您 您 可以 拨打 我们 公司 客服电话 九五 五三 零零 进行 咨询 您 看。 #,0 敏感词
0 啊！ 您 六年 后 可以 领取 比 您。 比 您 保费 当时 交 的 保费 多 的 八千 六百元。 请您 了解。 哦 他是 那 样子 的！ #,0 敏感词
0 您 说 呢 以后 也 可以 理解 吧！ 那您 以后 可以 领取 但是。 退保 将 退还 保单 您 保单 的 现金价值 是否 有 损失 和 您 持有 保单 的 时间 有 关系 现金价值表 在 合同 后面 打印 着 您 可以 参考。 #,0 敏感词
0 那个 那也 有 多少钱 呢？ 这个 您 可以。 三年 领取 退还 的 是 您的 保单 现金价值 是否 有 损失 和 您 持有 保单 的 时间 有 关系 现金价值表 在 您的 保单 的 合同 后面 打印 着 您 可以 参考 我们 这边是 看不出 来 您 三年 以后 领取。 会 领到 多少钱 的？ #,0 敏感词
0 两万元 的 保费。 幺 嗯 三年。 一共 是 六万 的 保费。 六万 的 保费 如果， 领取 的 话。 有 是否 有 损失 在哪？ 和 时间 您 持有 的 时间 有 关系。 #,0 敏感词
0 您 一次性 交了 这些 钱 您 五年 之后 是 可以 把 您的 保费 和 一定 的 收益 领取 出来 了 这 是 一款 理财产品。 哦哦！ 中途。  #,0 敏感词
0 可是 已经 停售 了 现在 不能 加 呀！  #,0 敏感词
0 业务员 是 怎么 跟您 讲 的 我 这边 不太了解 您 这个 问题 呢 我 这边 已经 给您 登记 了 会 让 我们 公司 这边 核实 之后 与您联系 的 好吧！  #,0 敏感词
0 业务员 具体 怎么 跟您 讲 了 我 这边 也 确实 看不到 然后 我 这边 问题 已经 给您 登记 反馈 了 让 我们 公司 核实 之后？  #,0 敏感词
0 唉 没有 呀！ 是 按 合同 都 会 来电 也 可以 啊！  #,0 敏感词
0 说 往 自己 的， 就是 先生 您 对吧 我帮您 查一下 您 买 什么 保险？ 昨天 摔跤。 常青树， 就是 这份 保单 是 可以 贷款 但 贷款 的 话 是 在 现金价值 的 百分之八十。 那 可能 的 话 是 您 是 购买 多久 呀！  #,0 敏感词
0 取 这个 钱 现在 就是 没有 那种 手续费 您 可以 现在 可以。  #,0 敏感词
0 三年 以后 是 才 可以 就是 全部 取出来 的。  #,0 敏感词
0 好的 会 全数 退 您还有 里 所有 所 说的 那个 利息 什么 的？ 好的 你 说 现 两年多。  #,0 敏感词
0 保险 不知道。 您的 这 一款 具有 理财 功能 的 保险 是 财富宝 养老年金 保险。  #,0 敏感词
0 你 外面 是吧！ 您 在 您 在， 中国邮政银行 购买 了 我 公司 的 财富宝 养老年金 保险 c款 产品 您 知道 您 当时 购买 的 是 一份 保险 理财产品 吗？ 我 不。  #,0 敏感词
0 不知道 的 吗？ 您。 这边 显示 您 在。 中国邮政银行 购买 了 我 公司 华夏 财富宝 养老年金 保险 c款 产品 您 知道 您 当时 购买 的 是 一份 保险 理财产品 吗？  #,0 敏感词
0 这个 保险 是 可以 退保 的 呀 合同 满 五年 以后 就 可以 退 了。 如果说 买 五年 以后 不想 退 最 长 持有 的 时间 到 终身。 满 五年 以后 任意 一个 时间 办理 都 可以。  #,0 敏感词
0 您 想 取出来 是吗？  #,0 敏感词
0 对 就 把 您 所交的保费 和 您的 收益 全部 都 退还 给您。 #,0 敏感词
0 呃 有没有 固定 的 收益 啊！ #,0 敏感词
0 这边 目前 是 不清楚 的 女士。 到时候 满 五年 之后 然后 您 让您 母亲 用 原 电话 打过来 然后 查询 看一下 具体 的 收益 是 多少 好吗？ #,0 敏感词
0 是 四四 的 利息 百分之四 假如 每年 交 一万 两年 交 满 五年 退 两万 三千 六百元 您 可以 理解 为 每年 的 收益 是 百分之四。 #,0 敏感词
0 投保 就是 钱 拿出来 连本带利 拿出来 以后 合同 就 终止 了。 嗯。  #,0 敏感词
0 连本带利 东西 对 合同 不 了 是吧 对？  #,0 敏感词
0 恩 他 主要 是 一款 理财 的 理财 型 的 一个 产品 保险产品。  #,0 敏感词
0 呃 是的， 每年 是 交 一万 块 一万 块钱 连续 交 三年 满 五年 就 可以 领取 您的 保费 再 加上 您的 收益 了。 请问  #,0 敏感词
0 嗯 您 这个 是 连续 交 三年 但是 满 五年 您 才 可以 领取 您的 保费 加上 您的 收益 中间 呢 您 也是 可以 领取 的 但是 呢？ 呃 满 五年 的 话 呃 这样 的 话 您的 收益 是 不会 收到 影响 的， 您 最好 如果说 不着 急用钱 的 话 您 最好 满 五年 您 在 联系 您的 保费 加 收益。  #,0 敏感词
0 嗯 先生 您 是 指 您的 合同 到期 了 想 取钱 是吗？  #,0 敏感词
0 嗯 这个 优惠 这 方面 我们 这 不太清楚 我们 只能 帮您 看到 这份 这个 保险 然后 保障 什么 东西？  #,0 敏感词
0 三年 以后 能 拿到 多少钱？ 呃 您 说 您的 三年 之后 您的 收益 的 嘛。 对 呀！  #,0 敏感词
0 他 到 之前 银行 跟我 说的。 是 我 应该 不对 呀！ 呃 他 这边是 跟您 现在 怎么 修 的？ 那个 应该 是 在 五万 五 的 样子。 我 您 稍等 一下 啊！ 嗯 那 这样 我 暂时 给您 查询 到 的 就是 这个 呃 给您 参加 就 十五万 三千五百 如果您 当时 是 对 都是 银行 跟您 说 是 五万 五万 五千多 差不多 是吗 嗯 呃 对？ 嗯 行 您 稍等 一下。 当时 购买 呃 跟您 就 说 是 您 存满 一年 以后 给您。  #,0 敏感词
0 你 是 听不懂 您的 这个 问题 您 是 说 这份 保险单 是 怎么？  #,0 敏感词
0 交 两年 存 五年。  #,0 敏感词
0 对 对。 所以说 您 这边 还是 考虑 一下 然后 现在 退 的 话 您 要 赔。 六千 块钱 然后 看了一下 您 这个 是 当时 投 的 是 十年 交 的 如果您 要是 交 满期 的 话 按照 每一年 您 交 保费 的 一万元 的 百分之五 收益 也 就是 十年。 十年 的 话 您 能 拿到 您的 本金 加上 这 十年 每年 百分之五 的 收益。  #,0 敏感词
0 好 好。 行 这边 的 话 建议您 还是 考虑 一下 这个 就是 说 呃 您 交十年 的 钱 五年 退 的 话 都是 会 赔 的 比较 多 然后 五年 的 话 相对来说 就是 呃 越来越 赔 的 少 一些 然后 到 九年 十年 的 时候 这个 您 都 可以 把 本金 拿回来 了。  #,0 敏感词
0 我 这里 看不到 您 卡里 有 没有钱 呀！ 哦 那 我 我 那个 有 足够 的 保费 的 话 它 是 自动 就 划款 的！ 他 现在 没有 还 嘛。  #,0 敏感词
0 复效 利息 没 多少 呢 女士？ 它 是 按 怎么 他是 怎么样 的 价格 来 上海 的 什么 方法 上 的 呀！ 他 有一个 具体 的 核算 的 一个。  #,0 敏感词
0 好的 女士 那 这边 的 话 帮您登记 您的 试一下 到时候 产生 的 费用 的 话 我 多 存 的 这个 费用， 不是 那个 不清楚 他 这个 的 话。  #,0 敏感词
0 您 这个 是 因为 什么 原因 要 退保 呀！  #,0 敏感词
0 才 能 收 回来 问 他 时间 妈的 三千块钱 太 长 了。 您 现在 但是 您 现在 如果 要 退 的 话 确实 只能 四百多 您 要不 再考虑 一下吧！ 嗯 我看看。  #,0 敏感词
0 到底 是什么 意思 啊！  #,0 敏感词
0 的 懂 吗？ 那您 这个 的 话 目前 的 话 保单 上 缴费 的 银行卡 是 一个 工商 银行卡 卡号 七位 数字 四 零四 八二 的。 还是 您 之前 的 那张卡 呀！  #,0 敏感词
0 拿不出 来 呀！ 呃  #,0 敏感词
0 您 说什么 先生？ 您好 我 这边 听不懂 您 讲话 您 看 您 是否 可以 说话 呢？ 我 说话。  #,0 敏感词
0 一下 报案人 的 信息 您 怎么 称呼 呀！ 我姓 吴 口天吴 安静 的 静。  #,0 敏感词
0 您的 这个 身份证号码 我 这边 查询 投保人 是 一个 姓 刃 的 女士 呀！  #,0 敏感词
0 那 给我 她 幺三零 的 呀！  #,0 敏感词
0 对 呀！  #,0 敏感词
0 嗯 就是 让 他 按照 他的 呃 实际情况 来 填写 呀！  #,0 敏感词
0 我知道 阿。 什么？ 现在 换 了 身份证 了。 所以 您 拿着 身份证 什么 的 别 把 您 身份证号 报 给我 呀！ 没拿 哎！ 那您 不是 变更 有效期限 吗 那您 得 把 您 变更 的 河西区 给我 给您 变更 一下 先生？  #,0 敏感词
0 吗 女士？ 对 呀！  #,0 敏感词
0 对 呀 那。  #,0 敏感词
0 是 您 自己 的 保单 吗 还是 还是 客户 的 保单 呀！,0 敏感词
0 身份证 吧！ 我 确实 听 不太懂 您 到底 要 为什么？  #,0 敏感词
0 属于 中途 退保 那 最后 有些 损失 只能 退 现金价值 的。 你 你 你 你 说 清楚 没听清楚。  #,0 敏感词
0 你 觉得 是不是 骗子？ 啊 现在 现在 生病 了 还是 保险 对吧 你 现在 不 不整！ 我 现在 能 把 钱 我 现在 要 赔钱。 那您 如果 现在 要 退 的 话 只能 退还 现金价值 就 会 有一些 损失 的。 退 什么？  #,0 敏感词
0 嗯， 您 当时 买 的 这个 保险 的 话 是 留 的 这个 手 手机号 是 多少 呀！  #,0 敏感词
0 那您 把 身份证号 清 我帮您 查 呀！  #,0 敏感词
0 您 之前 绑定 的 手机号 是 哪一个 呀！  #,0 敏感词
0 哪个 手机号 呀 您？  #,0 敏感词
0 哎 你好！  #,0 敏感词
0 怎么样？ 之后 如果 身故 的 话 也是 有 赔付 的 呀！  #,0 敏感词
0 对。 那 保单 就 会 一直 存 着 呀！ 人 冒 可能会 有 生病 的 时候 也 可能会 有 身故 的 时候 呀 身故 的 话 就 会 有 赔付。  #,0 敏感词
0 不单 保 疾病 的 呀 就是 患 了 重疾 的 一些 患 了 重疾 这份 保单 如果 患 了 本合同 的 重疾 会 进行 赔付 的 也 保 身故全残 的。  #,0 敏感词
0 保单 有 啊 看到 您 买 的 这个 华夏 财富宝 养老年金 保险 c款 一 七年 的 四月 十六号 买 的 呀！ 这个 保单 现在 是 在 晚上 是吧！ 你 你 跟我。  #,0 敏感词
0 嗯 对 呀 你 是 呃 不对 您 现在 想 交了 一次 一八 年 的 交 一次 交 两 这样 需要。 您 今年 没有 交 呢 十万块钱？  #,0 敏感词
0 那 我 因为 我 也 开 了 很 能 连长 晚上 就是 我 就是 说 他们 告 我 说 就是 那 我 就 办 完了 说吧！ 退。 嗯 好 嗯 好 那 感谢您 来电 再见 唉 等一下。  #,0 敏感词
0 没 查到 吗？ 稍等。 被保险人 叫什么 名字？ 究竟 还 他 出险 是 由于 什么 原因？  #,0 敏感词
0 我们 这边 查询 不 了 但是 没 懂 您 家 那个 话 我们 这边 只 听 这个 普通话 说的 不准。,0 敏感词
0 听不懂。 #,0 敏感词
0 先生 您 看 您 方便 说一下 普通话 吗 不好意思 啊！ #,0 敏感词
0 呃 先生 您 看 您 方便 说 普通话 吗 这边 确实 听 不太懂？ #,0 敏感词
0 嗯 抱歉 女士 我 这边 电脑 确实 是 卡 住 了 没有办法。 #,0 敏感词
0 呃 主要 是 听不懂 您 当地 方言 您 要 说 太快 的 话 我 就 更 听不懂 您 说 慢一点 我 还 能 听得懂 您 现在 是 要 退 吗 还是 说 您 再考虑 一下？  #,0 敏感词
1 那个 我 我 没有 投保 呢 我 我 就是 想 问一下 我 是 准备 想 投保？  #,1 产品推荐
1 就是 我想 了解 一下 咱们 这个， 那个 健康险 是 怎么回事？  #,1 产品推荐
1 你好 我想 问一下 华夏 的 那个 华夏 福 多 倍 有没有 风险 额度。  #,1 产品推荐
1 您好 那个 我想 咨询一下 有没有 那个 家庭 性 的 那种 保险。 这边。  #,1 产品推荐
1 喂 您好 我想 就是 咨询一下 给 一个 十岁 的 小孩， 险 然后 保 一个 那个 需要 一个 大概 常青树 的 那个， 一个 然后 再 配 上 一个 e 宝 通。  #,1 产品推荐
1 嗯 您好 我想 咨询一下 你们 就 新 出 的 华夏 常青树 多份 反正 我看看。  #,1 产品推荐
1 您好 我想 问一下 我想， 常青树 这个 保险 这个 怎么做？  #,1 产品推荐
1 哦 那 我 就 直接 问 你 有钱 对吧 就 那个 我想 问一下 那个 就 现在 不是 咱们 华夏 保险 除了 一个 华夏 福！ 然后 多 费 吧！ 是吧 对？ 然后 那个 二零 一八 的 然后 现在 我们 在 咱们 那个 官网上 没看到 这个 东西。  #,1 产品推荐
1 哎 你好 我想 请问 一下 那个 国泰人寿 在 广东 东莞 有没有 有没有 店 有没有 点 啰！  #,1 产品推荐
1 内蒙古 自治区。 文 科 的 忙 吧 嗯。 嗯 我想 投 一份。 哦 然后 搞 的 好像 绑 是吧！  #,1 产品推荐
1 我 这 这个 保险 不大 了解 啊 我 今年。 哦 十号 是！ 嗯 想 购买 一份 阳光保险。  #,1 产品推荐
1 嗯 喂 您好 我想 咨询一下 你们 华夏 保险 保险 种 其实 没有什么 好 然后 好像 是 华夏 二零 二一 九七 有什么区别？  #,1 产品推荐
1 喂 您好 我想 咨询一下 那个 重疾 的。  #,1 产品推荐
1 嗯 我 也 不太了解 你们 那个 产品 呃 南 四十六岁 想 我想 想 买一份 那个 关于 重大疾病 的 保险 啊！  #,1 产品推荐
1 呃 就是 人寿 啊 医疗。  #,1 产品推荐
1 我想 给 那个。 给我 儿子 然后 买一份 对。 重疾。 他 意外 的。  #,1 产品推荐
1 呃 你好 我想 问一下 你们 那个。 华夏 财富 一号 f款 什么 至尊版 的 那个？ 嗯 这个 这个 保单。 我想 问 你 能不能 给我 说一下 它的 主要 的 那个， 一次 性交 是不是？  #,1 产品推荐
1 那个 是 华泰保险 是吧！  #,1 产品推荐
1 呃 我想 了解 一下 咱们 的 产品。  #,1 产品推荐
1 咱们 那个， 两千 零一 六年 把 一个 常青树。  #,1 产品推荐
1 华夏 不 那个 多 倍。  #,1 产品推荐
1 就是 现在 嗯， 你们 那个 重疾 的 话 是不是 保 的 是？  #,1 产品推荐
1 是 我 打， 给我 的 家人 买保险， 然后 嗯 那个 但是 我 不太清楚 你们 的， 什么 证？ 还有 七年， 看看 完了 我 就 不太懂 然后。 我 现在 家 家 脸。 然后 是 五十， 啊 四十八岁！ 然后 还有 另外 两个 是 二十岁。 然后 您 可以 跟我 推荐 一款 合适 的 产品 嘛。  #,1 产品推荐
1 你们 那个 守护 神 这 一款 保险 意外伤害保险 哪有 我们？ 还 没有。  #,1 产品推荐
1 我想 咨询一下 寿险 我想 买 个 保险 啊！  #,1 产品推荐
1 我想 了解 一下 你 那 你 是不是 有 华夏 福 都 会 把 这个 产品？  #,1 产品推荐
1 嗯 你好 我想 了解 一下 这个， 有一个 常青树 的 保险 全。  #,1 产品推荐
1 哎 你好 我想 咨询一下 你们 华夏 有 一款 爱相随 定期寿险 对吧！  #,1 产品推荐
1 了解 一下 这个 华夏 你们 有个 常青树 是吗 对？ 呃 我看 一下 我 宝宝 在 这个 投保 的 话 大概 要 嗯 大概 多少 保费 啊！  #,1 产品推荐
1 我想 那个 问一下 就是 我 即使 加 是 辽宁 的 然后， 那个 就是 常青树 的 那个 就 重大疾病保险 在 我们 这个 地区 不 销售 那 我 可以 在 网上 买 嘛。  #,1 产品推荐
1 呃 你好 我想 问一下 你们 那个 好像 那个 华夏人寿 那 款 在 重庆 这边 有 就是 有 分支机构 嘛 然后 就是 想 买 好像 宽 的 保险。  #,1 产品推荐
1 好。 呃 你好 我 我想 问一下 咱们 这个 是 华夏 人寿保险。 呃 它 就是 可以 续保 什么？  #,1 产品推荐
1 报销 的 话 医疗保险 的 话 有什么 呢？  #,1 产品推荐
1 我想 我想 问一下 我想 买 你 这个 保险 我 怎么 买？  #,1 产品推荐
1 就是 重大疾病保险。  #,1 产品推荐
1 喂 你好 我想 就是 找 的 业务员 咨询一下 咨询一下 那个 华夏。 保险 你。 那个 就是 怎么样 购买 一些 程序？  #,1 产品推荐
1 嗯， 我想 咨询一下 那个 好像 我 那个。 嗯 重疾 那个 二零零八 把 那个。  #,1 产品推荐
1 我想 咨询 一个 想 投 个 保险 然后 我 不知道 我 这边， 这个 销售， 销售人员 我 就 想 问一下 我 是 通过 哪个 来 投保？  #,1 产品推荐
1 哎 你好 我 请问 一下 这个 滑县 这边 有一个 常青树 对吧！  #,1 产品推荐
1 那 这 我 不知道 我 不了解 啊 就是 你们 现在 就是 说 是。 比较 合适 的 有没有 划痕险。  #,1 产品推荐
1 嗯。 那就是 说 是 我 现在 打电话， 解决 不 了， 我 现在， 让 你 推荐 一个 然后 我 算一下 保费 这个 解决 不 了。  #,1 产品推荐
1 诶 你好 我想 问一下 那个 你们 呃 华夏 那 边 的 话 有一个 叫 常青树 的 保障。  #,1 产品推荐
1 华夏 保险 什么 是不是 一个叫 保存 了？  #,1 产品推荐
1 那个 我想 咨询一下 那个 就是 华夏 红 这个 保险 的 话 在 网上 买 的 话 马上 那个 收益 是 怎么说 呢？  #,1 产品推荐
1 咨询一下 有没有 这个 呃 就是 小孩子 的 这种 重疾险。  #,1 产品推荐
1 现在 产品 是 不一样 呀！  #,1 产品推荐
1 嗯 你好， 我想 了解 一下 你们 公司 有一个 保险 交 呃 常青树 保险 是吗？  #,1 产品推荐
1 嗯 我想 买 这款 保险 我 怎么 买 啊！  #,1 产品推荐
1 嗯 你好 我想 问一下 我 还 买 份 保险 然后 你 这边 能不能 给我 推荐 一个 业务人员。  #,1 产品推荐
1 呃 我想 买 那个 完了 的 那个 四 二 半圆 的 那个 还 那个 重疾险？  #,1 产品推荐
1 喂 你 你好 那个 我 了解 一下 你们 那个， 重疾 产品 的。  #,1 产品推荐
1 呃 是 这样 我 对 你们 的 一款 产品 有 兴趣 但是 我想 了解 的 话 你们 在 广 就 再 出现 先 存 这边 邮件 我 可以 接触 到 吗？  #,1 产品推荐
1 哎 你好 那个 我想 咨询一下 那个 嗯 重大疾病！ 重疾类 的 那个 保险， 有什么 产品 啊！  #,1 产品推荐
1 哎 我想 咨询一下 你们 那个！ 有一个 叫 华 啊 我的 那个 重疾 是 这样 的 一个 投保。  #,1 产品推荐
1 我想 咨询一下 你们 公司 是不是 有 款 叫 华夏 福 的 一个 产品？  #,1 产品推荐
1 啊 那个 我 就 想 咨询一下 那个 华夏 动机 啊！  #,1 产品推荐
